State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
East North Central,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,8.690833333333332,8.354999999999999,8.3925,8.385833333333332,8.320833333333333,8.405833333333334,10.145833333333334,11.120833333333332,11.33,11.543333333333335,11.858333333333334,11.49,10.67,11.996666666666668,12.580833333333333,12.616666666666665,13.04,12.829166666666666,13.149999999999999,13.165000000000004,13.290833333333333,15.65333333333333,15.887499999999998,16.005,17.48714285714286
Indiana,6.990000000000001,6.950833333333333,7.113333333333333,7.359166666666667,7.565,8.280833333333334,8.316666666666665,8.971666666666666,9.576666666666666,9.67,10.141666666666666,10.609166666666667,11.059166666666668,11.56,11.646666666666667,11.864166666666668,12.351666666666667,12.301666666666668,12.630833333333333,12.88,13.455833333333333,14.6925,14.964166666666669,14.931666666666665,16.119999999999997
Michigan,8.229166666666666,8.249166666666666,8.339166666666666,8.326666666666666,8.363333333333335,9.7375,10.184166666666664,10.714166666666666,11.624166666666666,12.430833333333334,13.249999999999998,14.086666666666668,14.61,14.494166666666667,14.416666666666666,15.206666666666665,15.395833333333334,15.439166666666667,15.728333333333332,16.257500000000004,17.5275,17.859166666666663,18.820833333333333,19.272499999999997,19.770000000000003
Ohio,8.389999999999999,8.245833333333332,8.316666666666666,8.4975,8.521666666666667,9.363333333333333,9.583333333333334,10.1275,10.746666666666668,11.349166666666667,11.454166666666666,11.765,12.038333333333334,12.591666666666669,12.830000000000004,12.5075,12.650833333333336,12.5775,12.395833333333334,12.320833333333333,12.803333333333333,13.874166666666667,15.399999999999999,16.12666666666667,16.565714285714286
Wisconsin,7.906666666666667,8.18,8.686666666666666,9.084999999999999,9.661666666666665,10.516666666666667,10.873333333333335,11.554166666666667,11.954166666666666,12.67,13.046666666666669,13.209999999999999,13.572499999999998,13.7175,14.150833333333333,14.103333333333332,14.38166666666667,14.049999999999999,14.228333333333333,14.351666666666667,14.554999999999998,15.665,16.892500000000002,17.24083333333333,18.122857142857143
West North Central,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,8.413333333333332,8.315,8.565,8.9625,9.251666666666667,9.623333333333333,9.435833333333331,9.551666666666668,10.0775,10.47166666666667,10.5,10.811666666666667,11.075833333333334,11.242500000000001,11.671666666666667,11.940833333333336,12.345,12.263333333333334,12.529166666666667,12.454166666666666,12.704166666666666,13.188333333333333,13.321666666666665,13.554166666666667,13.6
Kansas,7.579166666666667,7.566666666666666,7.633333333333333,7.6925,7.825833333333332,8.166666666666666,8.136666666666668,8.825000000000001,9.535833333333333,10.0025,10.585833333333333,11.16666666666667,11.624166666666667,12.194166666666666,12.391666666666667,13.0925,13.308333333333332,13.331666666666663,12.7475,12.883333333333335,13.020833333333334,13.939166666666665,13.409999999999998,14.209166666666667,14.304285714285713
Minnesota,7.575,7.458333333333332,7.635833333333334,7.920000000000001,8.260833333333332,8.661666666666669,9.168333333333335,9.771666666666667,10.083333333333334,10.605833333333335,10.989166666666668,11.355833333333331,11.8425,12.064166666666667,12.149166666666666,12.713333333333333,13.081666666666669,13.168333333333335,13.080833333333333,13.1825,13.515833333333333,14.309166666666668,14.770000000000001,15.458333333333336,15.62
Missouri,6.963333333333334,6.995000000000001,6.951666666666667,6.964166666666667,7.034999999999999,7.371666666666667,7.618333333333333,8.038333333333334,8.573333333333332,9.071666666666667,9.705833333333333,10.063333333333334,10.605833333333331,10.720833333333333,11.233333333333334,11.155833333333334,11.571666666666667,11.291666666666666,11.119166666666667,11.15,11.379166666666668,11.678333333333333,12.477500000000001,12.837499999999999,13.075714285714286
Nebraska,6.465,6.6575,6.826666666666667,6.975833333333334,7.091666666666668,7.395,7.601666666666667,7.947500000000001,8.612499999999999,8.984166666666667,9.361666666666666,10.006666666666668,10.358333333333334,10.492500000000001,10.639999999999999,10.850000000000001,10.996666666666668,10.762499999999998,10.876666666666665,10.829166666666667,10.809999999999997,10.8575,11.259166666666667,11.83,12.215714285714286
North Dakota,6.585000000000001,6.465833333333332,6.6241666666666665,6.96,7.1450000000000005,7.2525,7.451666666666667,7.710000000000001,7.817499999999999,8.35,8.850833333333332,9.2475,9.379166666666666,9.48,9.886666666666667,10.397499999999999,10.584166666666667,10.515000000000002,10.640833333333333,10.644166666666665,11.093333333333334,11.253333333333336,11.237499999999999,11.760000000000003,11.845714285714285
South Dakota,7.4575,7.410833333333333,7.513333333333333,7.714166666666667,7.8183333333333325,7.879166666666666,8.140833333333335,8.379999999999999,8.600833333333332,9.099166666666667,9.465000000000002,10.130833333333333,10.365,10.62,11.174999999999997,11.5675,11.887500000000001,11.6925,11.69333333333333,11.808333333333332,12.277500000000002,12.209166666666667,12.4275,13.144166666666665,13.305714285714286
South Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8.621666666666666,8.664166666666667,8.617500000000001,8.790833333333333,9.003333333333336,11.895833333333336,13.198333333333336,13.995833333333332,14.1475,13.905833333333334,13.770833333333334,13.651666666666666,13.054166666666665,13.409999999999998,13.564166666666667,13.533333333333337,13.431666666666665,12.626666666666667,12.658333333333331,12.68,12.620833333333332,13.882499999999999,15.848333333333334,16.62416666666667,16.952857142857145
District Of Columbia,7.695833333333334,7.747500000000001,7.716666666666666,7.887499999999999,9.019999999999998,9.799999999999999,11.039166666666667,12.618333333333332,13.6725,13.941666666666665,13.4125,12.291666666666666,12.5675,12.809999999999997,13.098333333333334,12.404166666666667,13.01,12.924166666666666,13.078333333333333,12.714999999999998,13.136666666666665,14.270000000000003,16.49,17.795,20.85
Florida,8.603333333333333,8.179166666666669,8.5575,9.011666666666667,9.620833333333334,11.315,11.213333333333333,11.62,12.399166666666668,11.457500000000001,11.496666666666668,11.417499999999999,11.264999999999999,11.879166666666665,11.58,10.9825,11.6,11.554166666666667,11.698333333333332,11.269166666666665,11.8975,13.883333333333333,15.227499999999997,14.234166666666667,15.032857142857143
Georgia,7.676666666666667,7.579999999999998,7.6816666666666675,7.829166666666668,8.574166666666668,8.805,9.012500000000001,9.830833333333333,10.069166666666666,10.010833333333336,10.964999999999998,11.065833333333336,11.389166666666666,11.609166666666669,11.4225,11.401666666666666,11.820833333333333,11.405833333333334,11.674166666666666,11.93,12.469999999999999,13.668333333333331,13.635,14.080833333333333,14.751428571428573
Maryland,7.685000000000001,7.704166666666666,7.750833333333333,7.816666666666666,8.436666666666666,9.708333333333334,11.899999999999999,13.862499999999997,14.985000000000001,14.291666666666666,13.332499999999998,12.843333333333332,13.2575,13.67,13.946666666666665,14.29,13.9975,13.332500000000001,13.195833333333333,13.082500000000001,13.174999999999999,14.516666666666666,16.63583333333333,17.94666666666667,18.834285714285716
North Carolina,8.141666666666667,8.205,8.368333333333334,8.489166666666668,8.6875,9.1275,9.4125,9.542499999999999,10.030000000000001,10.164166666666667,10.317499999999999,10.933333333333335,11.016666666666666,11.165833333333332,11.347499999999998,11.082500000000001,10.961666666666668,11.1475,11.4475,11.4325,11.364166666666668,11.693333333333333,12.978333333333332,14.2525,13.822857142857142
South Carolina,7.708333333333335,7.736666666666667,8.060833333333333,8.161666666666667,8.6875,9.02,9.188333333333333,9.883333333333331,10.481666666666667,10.546666666666665,11.119999999999997,11.774999999999999,12.011666666666668,12.485,12.610000000000001,12.665833333333333,13.0225,12.504166666666668,13.015,12.825833333333334,12.911666666666669,13.592500000000001,13.731666666666664,14.233333333333333,14.84857142857143
Virginia,7.825833333333333,7.796666666666667,7.815833333333334,8.025,8.179999999999998,8.496666666666666,8.754166666666668,9.625,10.650833333333333,10.479999999999999,10.676666666666668,11.097499999999998,10.885833333333332,11.188333333333333,11.403333333333334,11.401666666666666,11.579999999999998,11.770833333333334,12.104166666666666,12.071666666666665,12.0225,13.38,14.325000000000001,14.621666666666668,15.081428571428571
West Virginia,6.301666666666667,6.260833333333333,6.294166666666666,6.272500000000001,6.250833333333333,6.403333333333332,6.779166666666666,7.121666666666665,7.948333333333333,8.868333333333332,9.468333333333334,9.890833333333333,9.564166666666667,9.4025,10.231666666666667,11.545833333333334,11.68,11.2275,11.412500000000001,11.891666666666666,12.279166666666667,13.385,14.142499999999998,15.264999999999999,15.521428571428572
East South Central,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,7.053333333333334,7.125833333333333,7.404166666666666,7.637499999999999,7.988333333333333,8.6825,9.304166666666665,10.374999999999998,10.644166666666665,10.714166666666666,11.1025,11.385,11.255,11.511666666666668,11.712499999999999,12.015,12.561666666666667,12.211666666666666,12.538333333333334,12.598333333333334,12.958333333333336,14.240000000000002,14.663333333333334,15.196666666666667,16.00857142857143
Kentucky,5.61,5.663333333333333,5.8549999999999995,6.1499999999999995,6.593333333333333,7.041666666666668,7.375,7.985833333333332,8.385,8.637500000000001,9.255833333333333,9.457500000000001,9.819166666666666,10.235833333333334,10.32,10.535833333333334,10.8775,10.634166666666667,10.830833333333333,10.923333333333332,11.591666666666667,12.963333333333333,12.6775,13.039166666666667,13.425714285714283
Mississippi,7.333333333333332,7.246666666666666,7.570833333333333,8.166666666666666,8.691666666666666,9.664166666666667,9.363333333333333,10.340000000000002,10.245833333333332,9.904166666666667,10.231666666666667,10.307500000000003,10.810833333333333,11.371666666666664,11.321666666666667,10.529166666666665,11.115833333333333,11.216666666666667,11.310833333333333,11.2475,11.615833333333333,12.4825,13.3175,13.406666666666666,13.931428571428572
Tennessee,6.346666666666667,6.4241666666666655,6.586666666666667,6.918333333333333,7.0075,7.771666666666666,7.879166666666666,8.985833333333334,9.325833333333334,9.315,10.016666666666666,10.116666666666667,9.985,10.379166666666668,10.358333333333336,10.426666666666664,10.7325,10.750833333333333,10.885,10.787500000000001,11.128333333333332,12.233333333333333,12.214999999999998,12.609166666666667,13.448571428571428
West South Central,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,7.694999999999999,7.219166666666666,7.215,7.340833333333333,7.947500000000002,8.788333333333336,8.714166666666666,9.289166666666667,9.1375,8.889166666666666,9.015833333333335,9.265,9.590833333333334,9.570833333333335,9.853333333333333,9.915000000000001,10.269166666666669,9.815833333333336,9.798333333333336,10.415833333333335,11.279166666666667,12.050833333333335,12.2525,12.280000000000001,12.675714285714287
